ticker,direction,row_count
XLB,HH/HL,287
XLB,INSUFFICIENT_HISTORY,7
XLB,LH/LL,356
XLB,TRANSITION,200
XLC,HH/HL,148
XLC,INSUFFICIENT_HISTORY,7
XLC,LH/LL,132
XLC,NO_RATIO,441
XLC,TRANSITION,122
XLE,HH/HL,276
XLE,INSUFFICIENT_HISTORY,7
XLE,LH/LL,401
XLE,TRANSITION,166
XLF,HH/HL,308
XLF,INSUFFICIENT_HISTORY,7
XLF,LH/LL,362
XLF,TRANSITION,173
XLI,HH/HL,331
XLI,INSUFFICIENT_HISTORY,7
XLI,LH/LL,335
XLI,TRANSITION,177
XLK,HH/HL,389
XLK,INSUFFICIENT_HISTORY,7
XLK,LH/LL,284
XLK,TRANSITION,170
XLP,HH/HL,286
XLP,INSUFFICIENT_HISTORY,7
XLP,LH/LL,402
XLP,TRANSITION,155
XLRE,HH/HL,172
XLRE,INSUFFICIENT_HISTORY,7
XLRE,LH/LL,263
XLRE,NO_RATIO,300
XLRE,TRANSITION,108
XLU,HH/HL,319
XLU,INSUFFICIENT_HISTORY,7
XLU,LH/LL,349
XLU,TRANSITION,175
XLV,HH/HL,339
XLV,INSUFFICIENT_HISTORY,7
XLV,LH/LL,323
XLV,TRANSITION,181
XLY,HH/HL,369
XLY,INSUFFICIENT_HISTORY,7
XLY,LH/LL,315
XLY,TRANSITION,159
