date,ticker_count,non_null_ratio_count,classification_ready_count
2010-01-08,11,9,0
2010-01-15,11,9,0
2010-01-22,11,9,0
2010-01-29,11,9,0
2010-02-05,11,9,0
2010-02-12,11,9,0
2010-02-19,11,9,0
2010-02-26,11,9,9
2010-03-05,11,9,9
2010-03-12,11,9,9
2010-03-19,11,9,9
2010-03-26,11,9,9
2010-04-02,11,9,9
2010-04-09,11,9,9
2010-04-16,11,9,9
2010-04-23,11,9,9
2010-04-30,11,9,9
2010-05-07,11,9,9
2010-05-14,11,9,9
2010-05-21,11,9,9
2010-05-28,11,9,9
2010-06-04,11,9,9
2010-06-11,11,9,9
2010-06-18,11,9,9
2010-06-25,11,9,9
2010-07-02,11,9,9
2010-07-09,11,9,9
2010-07-16,11,9,9
2010-07-23,11,9,9
2010-07-30,11,9,9
2010-08-06,11,9,9
2010-08-13,11,9,9
2010-08-20,11,9,9
2010-08-27,11,9,9
2010-09-03,11,9,9
2010-09-10,11,9,9
2010-09-17,11,9,9
2010-09-24,11,9,9
2010-10-01,11,9,9
2010-10-08,11,9,9
2010-10-15,11,9,9
2010-10-22,11,9,9
2010-10-29,11,9,9
2010-11-05,11,9,9
2010-11-12,11,9,9
2010-11-19,11,9,9
2010-11-26,11,9,9
2010-12-03,11,9,9
2010-12-10,11,9,9
2010-12-17,11,9,9
2010-12-24,11,9,9
2010-12-31,11,9,9
2011-01-07,11,9,9
2011-01-14,11,9,9
2011-01-21,11,9,9
2011-01-28,11,9,9
2011-02-04,11,9,9
2011-02-11,11,9,9
2011-02-18,11,9,9
2011-02-25,11,9,9
2011-03-04,11,9,9
2011-03-11,11,9,9
2011-03-18,11,9,9
2011-03-25,11,9,9
2011-04-01,11,9,9
2011-04-08,11,9,9
2011-04-15,11,9,9
2011-04-22,11,9,9
2011-04-29,11,9,9
2011-05-06,11,9,9
2011-05-13,11,9,9
2011-05-20,11,9,9
2011-05-27,11,9,9
2011-06-03,11,9,9
2011-06-10,11,9,9
2011-06-17,11,9,9
2011-06-24,11,9,9
2011-07-01,11,9,9
2011-07-08,11,9,9
2011-07-15,11,9,9
2011-07-22,11,9,9
2011-07-29,11,9,9
2011-08-05,11,9,9
2011-08-12,11,9,9
2011-08-19,11,9,9
2011-08-26,11,9,9
2011-09-02,11,9,9
2011-09-09,11,9,9
2011-09-16,11,9,9
2011-09-23,11,9,9
2011-09-30,11,9,9
2011-10-07,11,9,9
2011-10-14,11,9,9
2011-10-21,11,9,9
2011-10-28,11,9,9
2011-11-04,11,9,9
2011-11-11,11,9,9
2011-11-18,11,9,9
2011-11-25,11,9,9
2011-12-02,11,9,9
2011-12-09,11,9,9
2011-12-16,11,9,9
2011-12-23,11,9,9
2011-12-30,11,9,9
2012-01-06,11,9,9
2012-01-13,11,9,9
2012-01-20,11,9,9
2012-01-27,11,9,9
2012-02-03,11,9,9
2012-02-10,11,9,9
2012-02-17,11,9,9
2012-02-24,11,9,9
2012-03-02,11,9,9
2012-03-09,11,9,9
2012-03-16,11,9,9
2012-03-23,11,9,9
2012-03-30,11,9,9
2012-04-06,11,9,9
2012-04-13,11,9,9
2012-04-20,11,9,9
2012-04-27,11,9,9
2012-05-04,11,9,9
2012-05-11,11,9,9
2012-05-18,11,9,9
2012-05-25,11,9,9
2012-06-01,11,9,9
2012-06-08,11,9,9
2012-06-15,11,9,9
2012-06-22,11,9,9
2012-06-29,11,9,9
2012-07-06,11,9,9
2012-07-13,11,9,9
2012-07-20,11,9,9
2012-07-27,11,9,9
2012-08-03,11,9,9
2012-08-10,11,9,9
2012-08-17,11,9,9
2012-08-24,11,9,9
2012-08-31,11,9,9
2012-09-07,11,9,9
2012-09-14,11,9,9
2012-09-21,11,9,9
2012-09-28,11,9,9
2012-10-05,11,9,9
2012-10-12,11,9,9
2012-10-19,11,9,9
2012-10-26,11,9,9
2012-11-02,11,9,9
2012-11-09,11,9,9
2012-11-16,11,9,9
2012-11-23,11,9,9
2012-11-30,11,9,9
2012-12-07,11,9,9
2012-12-14,11,9,9
2012-12-21,11,9,9
2012-12-28,11,9,9
2013-01-04,11,9,9
2013-01-11,11,9,9
2013-01-18,11,9,9
2013-01-25,11,9,9
2013-02-01,11,9,9
2013-02-08,11,9,9
2013-02-15,11,9,9
2013-02-22,11,9,9
2013-03-01,11,9,9
2013-03-08,11,9,9
2013-03-15,11,9,9
2013-03-22,11,9,9
2013-03-29,11,9,9
2013-04-05,11,9,9
2013-04-12,11,9,9
2013-04-19,11,9,9
2013-04-26,11,9,9
2013-05-03,11,9,9
2013-05-10,11,9,9
2013-05-17,11,9,9
2013-05-24,11,9,9
2013-05-31,11,9,9
2013-06-07,11,9,9
2013-06-14,11,9,9
2013-06-21,11,9,9
2013-06-28,11,9,9
