ticker,direction,run_id,start_date,end_date,duration_weeks
XLB,TRANSITION,1,2010-02-26,2010-03-05,2
XLB,HH/HL,2,2010-03-12,2010-03-12,1
XLB,TRANSITION,3,2010-03-19,2010-03-26,2
XLB,HH/HL,4,2010-04-02,2010-04-23,4
XLB,LH/LL,5,2010-04-30,2010-06-25,9
XLB,TRANSITION,6,2010-07-02,2010-07-02,1
XLB,HH/HL,7,2010-07-09,2010-10-15,15
XLB,TRANSITION,8,2010-10-22,2010-11-12,4
XLB,HH/HL,9,2010-11-19,2010-12-10,4
XLB,TRANSITION,10,2010-12-17,2010-12-17,1
XLB,HH/HL,11,2010-12-24,2011-01-14,4
XLB,TRANSITION,12,2011-01-21,2011-01-21,1
XLB,LH/LL,13,2011-01-28,2011-02-11,3
XLB,TRANSITION,14,2011-02-18,2011-02-18,1
XLB,HH/HL,15,2011-02-25,2011-02-25,1
XLB,TRANSITION,16,2011-03-04,2011-03-04,1
XLB,LH/LL,17,2011-03-11,2011-03-25,3
XLB,TRANSITION,18,2011-04-01,2011-04-01,1
XLB,HH/HL,19,2011-04-08,2011-04-29,4
XLB,LH/LL,20,2011-05-06,2011-06-10,6
XLB,TRANSITION,21,2011-06-17,2011-06-17,1
XLB,HH/HL,22,2011-06-24,2011-07-29,6
XLB,TRANSITION,23,2011-08-05,2011-08-05,1
XLB,LH/LL,24,2011-08-12,2011-09-09,5
XLB,TRANSITION,25,2011-09-16,2011-09-16,1
XLB,LH/LL,26,2011-09-23,2011-10-21,5
XLB,TRANSITION,27,2011-10-28,2011-11-04,2
XLB,HH/HL,28,2011-11-11,2011-11-18,2
XLB,TRANSITION,29,2011-11-25,2011-12-09,3
XLB,LH/LL,30,2011-12-16,2012-01-06,4
XLB,TRANSITION,31,2012-01-13,2012-01-20,2
XLB,HH/HL,32,2012-01-27,2012-02-17,4
XLB,TRANSITION,33,2012-02-24,2012-02-24,1
XLB,LH/LL,34,2012-03-02,2012-04-27,9
XLB,TRANSITION,35,2012-05-04,2012-05-11,2
XLB,LH/LL,36,2012-05-18,2012-06-08,4
XLB,TRANSITION,37,2012-06-15,2012-06-22,2
XLB,HH/HL,38,2012-06-29,2012-06-29,1
XLB,TRANSITION,39,2012-07-06,2012-07-06,1
XLB,LH/LL,40,2012-07-13,2012-07-27,3
XLB,TRANSITION,41,2012-08-03,2012-08-10,2
XLB,LH/LL,42,2012-08-17,2012-08-24,2
XLB,TRANSITION,43,2012-08-31,2012-09-07,2
XLB,HH/HL,44,2012-09-14,2012-10-05,4
XLB,TRANSITION,45,2012-10-12,2012-10-19,2
XLB,LH/LL,46,2012-10-26,2012-11-02,2
XLB,HH/HL,47,2012-11-09,2012-11-09,1
XLB,TRANSITION,48,2012-11-16,2012-11-30,3
XLB,LH/LL,49,2012-12-07,2012-12-07,1
XLB,TRANSITION,50,2012-12-14,2012-12-28,3
XLB,HH/HL,51,2013-01-04,2013-02-01,5
XLB,TRANSITION,52,2013-02-08,2013-02-08,1
XLB,LH/LL,53,2013-02-15,2013-05-10,13
XLB,TRANSITION,54,2013-05-17,2013-05-17,1
XLB,HH/HL,55,2013-05-24,2013-05-31,2
XLB,TRANSITION,56,2013-06-07,2013-06-07,1
XLB,LH/LL,57,2013-06-14,2013-07-26,7
XLB,TRANSITION,58,2013-08-02,2013-08-02,1
XLB,HH/HL,59,2013-08-09,2013-10-25,12
XLB,LH/LL,60,2013-11-01,2013-12-20,8
XLB,TRANSITION,61,2013-12-27,2013-12-27,1
XLB,HH/HL,62,2014-01-03,2014-01-17,3
XLB,TRANSITION,63,2014-01-24,2014-01-24,1
XLB,LH/LL,64,2014-01-31,2014-02-07,2
XLB,TRANSITION,65,2014-02-14,2014-02-14,1
XLB,HH/HL,66,2014-02-21,2014-04-11,8
XLB,TRANSITION,67,2014-04-18,2014-04-18,1
XLB,HH/HL,68,2014-04-25,2014-05-09,3
XLB,TRANSITION,69,2014-05-16,2014-05-23,2
XLB,HH/HL,70,2014-05-30,2014-06-13,3
XLB,TRANSITION,71,2014-06-20,2014-06-20,1
XLB,LH/LL,72,2014-06-27,2014-07-25,5
XLB,TRANSITION,73,2014-08-01,2014-08-01,1
XLB,HH/HL,74,2014-08-08,2014-08-15,2
XLB,TRANSITION,75,2014-08-22,2014-08-29,2
XLB,LH/LL,76,2014-09-05,2014-09-19,3
XLB,TRANSITION,77,2014-09-26,2014-10-17,4
XLB,LH/LL,78,2014-10-24,2015-01-02,11
XLB,TRANSITION,79,2015-01-09,2015-01-23,3
XLB,HH/HL,80,2015-01-30,2015-01-30,1
XLB,TRANSITION,81,2015-02-06,2015-02-13,2
XLB,HH/HL,82,2015-02-20,2015-03-13,4
XLB,LH/LL,83,2015-03-20,2015-04-10,4
XLB,TRANSITION,84,2015-04-17,2015-04-24,2
XLB,HH/HL,85,2015-05-01,2015-05-29,5
XLB,TRANSITION,86,2015-06-05,2015-06-12,2
XLB,LH/LL,87,2015-06-19,2015-08-14,9
XLB,TRANSITION,88,2015-08-21,2015-09-04,3
XLB,HH/HL,89,2015-09-11,2015-09-11,1
XLB,TRANSITION,90,2015-09-18,2015-09-18,1
XLB,LH/LL,91,2015-09-25,2015-10-02,2
XLB,TRANSITION,92,2015-10-09,2015-10-16,2
XLB,HH/HL,93,2015-10-23,2015-10-30,2
XLB,TRANSITION,94,2015-11-06,2015-11-20,3
XLB,LH/LL,95,2015-11-27,2015-11-27,1
XLB,HH/HL,96,2015-12-04,2015-12-04,1
XLB,TRANSITION,97,2015-12-11,2015-12-11,1
XLB,LH/LL,98,2015-12-18,2016-01-29,7
XLB,TRANSITION,99,2016-02-05,2016-02-19,3
XLB,HH/HL,100,2016-02-26,2016-04-08,7
XLB,TRANSITION,101,2016-04-15,2016-04-15,1
XLB,HH/HL,102,2016-04-22,2016-04-22,1
XLB,TRANSITION,103,2016-04-29,2016-04-29,1
XLB,HH/HL,104,2016-05-06,2016-05-20,3
XLB,TRANSITION,105,2016-05-27,2016-06-10,3
XLB,HH/HL,106,2016-06-17,2016-06-24,2
XLB,TRANSITION,107,2016-07-01,2016-07-08,2
XLB,LH/LL,108,2016-07-15,2016-07-29,3
XLB,TRANSITION,109,2016-08-05,2016-08-26,4
XLB,LH/LL,110,2016-09-02,2016-09-02,1
XLB,HH/HL,111,2016-09-09,2016-09-09,1
XLB,TRANSITION,112,2016-09-16,2016-09-23,2
XLB,LH/LL,113,2016-09-30,2016-10-28,5
XLB,TRANSITION,114,2016-11-04,2016-11-04,1
XLB,HH/HL,115,2016-11-11,2016-12-23,7
XLB,TRANSITION,116,2016-12-30,2017-01-06,2
XLB,LH/LL,117,2017-01-13,2017-01-20,2
XLB,HH/HL,118,2017-01-27,2017-02-17,4
XLB,LH/LL,119,2017-02-24,2017-03-31,6
XLB,HH/HL,120,2017-04-07,2017-04-28,4
XLB,LH/LL,121,2017-05-05,2017-06-02,5
XLB,TRANSITION,122,2017-06-09,2017-06-16,2
XLB,HH/HL,123,2017-06-23,2017-06-30,2
XLB,TRANSITION,124,2017-07-07,2017-07-07,1
XLB,HH/HL,125,2017-07-14,2017-07-28,3
XLB,TRANSITION,126,2017-08-04,2017-08-04,1
XLB,LH/LL,127,2017-08-11,2017-09-01,4
XLB,TRANSITION,128,2017-09-08,2017-09-08,1
XLB,HH/HL,129,2017-09-15,2017-11-03,8
XLB,TRANSITION,130,2017-11-10,2017-11-17,2
XLB,LH/LL,131,2017-11-24,2017-12-22,5
XLB,TRANSITION,132,2017-12-29,2018-01-05,2
XLB,HH/HL,133,2018-01-12,2018-01-26,3
XLB,LH/LL,134,2018-02-02,2018-04-06,10
XLB,TRANSITION,135,2018-04-13,2018-04-13,1
XLB,HH/HL,136,2018-04-20,2018-05-04,3
XLB,TRANSITION,137,2018-05-11,2018-05-11,1
XLB,LH/LL,138,2018-05-18,2018-06-01,3
XLB,TRANSITION,139,2018-06-08,2018-06-08,1
XLB,LH/LL,140,2018-06-15,2018-09-21,15
XLB,TRANSITION,141,2018-09-28,2018-10-12,3
XLB,LH/LL,142,2018-10-19,2018-11-09,4
XLB,TRANSITION,143,2018-11-16,2018-11-16,1
XLB,HH/HL,144,2018-11-23,2018-12-14,4
XLB,LH/LL,145,2018-12-21,2018-12-28,2
XLB,HH/HL,146,2019-01-04,2019-01-25,4
XLB,TRANSITION,147,2019-02-01,2019-02-01,1
XLB,LH/LL,148,2019-02-08,2019-03-01,4
XLB,TRANSITION,149,2019-03-08,2019-03-15,2
XLB,LH/LL,150,2019-03-22,2019-03-29,2
XLB,TRANSITION,151,2019-04-05,2019-04-12,2
XLB,HH/HL,152,2019-04-19,2019-04-19,1
XLB,TRANSITION,153,2019-04-26,2019-04-26,1
XLB,LH/LL,154,2019-05-03,2019-05-31,5
XLB,TRANSITION,155,2019-06-07,2019-06-14,2
XLB,HH/HL,156,2019-06-21,2019-07-05,3
XLB,TRANSITION,157,2019-07-12,2019-07-19,2
XLB,LH/LL,158,2019-07-26,2019-08-02,2
XLB,TRANSITION,159,2019-08-09,2019-08-30,4
XLB,LH/LL,160,2019-09-06,2019-09-27,4
XLB,TRANSITION,161,2019-10-04,2019-10-04,1
XLB,LH/LL,162,2019-10-11,2019-10-25,3
XLB,TRANSITION,163,2019-11-01,2019-11-29,5
XLB,LH/LL,164,2019-12-06,2020-04-03,18
XLB,TRANSITION,165,2020-04-10,2020-04-24,3
XLB,HH/HL,166,2020-05-01,2020-05-01,1
XLB,TRANSITION,167,2020-05-08,2020-05-29,4
XLB,HH/HL,168,2020-06-05,2020-06-26,4
XLB,TRANSITION,169,2020-07-03,2020-07-10,2
XLB,HH/HL,170,2020-07-17,2020-08-14,5
XLB,LH/LL,171,2020-08-21,2020-09-04,3
XLB,TRANSITION,172,2020-09-11,2020-09-11,1
XLB,HH/HL,173,2020-09-18,2020-10-09,4
XLB,TRANSITION,174,2020-10-16,2020-11-06,4
XLB,HH/HL,175,2020-11-13,2020-12-18,6
XLB,TRANSITION,176,2020-12-25,2021-01-01,2
XLB,HH/HL,177,2021-01-08,2021-01-22,3
XLB,TRANSITION,178,2021-01-29,2021-01-29,1
XLB,LH/LL,179,2021-02-05,2021-03-05,5
XLB,HH/HL,180,2021-03-12,2021-04-16,6
XLB,LH/LL,181,2021-04-23,2021-04-30,2
XLB,HH/HL,182,2021-05-07,2021-06-04,5
XLB,TRANSITION,183,2021-06-11,2021-06-11,1
XLB,LH/LL,184,2021-06-18,2021-08-06,8
XLB,TRANSITION,185,2021-08-13,2021-08-13,1
XLB,HH/HL,186,2021-08-20,2021-09-03,3
XLB,TRANSITION,187,2021-09-10,2021-09-10,1
XLB,LH/LL,188,2021-09-17,2021-10-15,5
XLB,HH/HL,189,2021-10-22,2021-12-03,7
XLB,TRANSITION,190,2021-12-10,2021-12-24,3
XLB,LH/LL,191,2021-12-31,2021-12-31,1
XLB,HH/HL,192,2022-01-07,2022-01-28,4
XLB,TRANSITION,193,2022-02-04,2022-02-25,4
XLB,HH/HL,194,2022-03-04,2022-06-10,15
XLB,LH/LL,195,2022-06-17,2022-08-19,10
XLB,TRANSITION,196,2022-08-26,2022-08-26,1
XLB,HH/HL,197,2022-09-02,2022-09-16,3
XLB,LH/LL,198,2022-09-23,2022-10-14,4
XLB,HH/HL,199,2022-10-21,2023-01-06,12
XLB,TRANSITION,200,2023-01-13,2023-01-20,2
