ticker,from_date,to_date,from_direction,to_direction,transition_changed
XLB,2010-02-26,2010-03-05,TRANSITION,TRANSITION,False
XLB,2010-03-05,2010-03-12,TRANSITION,HH/HL,True
XLB,2010-03-12,2010-03-19,HH/HL,TRANSITION,True
XLB,2010-03-19,2010-03-26,TRANSITION,TRANSITION,False
XLB,2010-03-26,2010-04-02,TRANSITION,HH/HL,True
XLB,2010-04-02,2010-04-09,HH/HL,HH/HL,False
XLB,2010-04-09,2010-04-16,HH/HL,HH/HL,False
XLB,2010-04-16,2010-04-23,HH/HL,HH/HL,False
XLB,2010-04-23,2010-04-30,HH/HL,LH/LL,True
XLB,2010-04-30,2010-05-07,LH/LL,LH/LL,False
XLB,2010-05-07,2010-05-14,LH/LL,LH/LL,False
XLB,2010-05-14,2010-05-21,LH/LL,LH/LL,False
XLB,2010-05-21,2010-05-28,LH/LL,LH/LL,False
XLB,2010-05-28,2010-06-04,LH/LL,LH/LL,False
XLB,2010-06-04,2010-06-11,LH/LL,LH/LL,False
XLB,2010-06-11,2010-06-18,LH/LL,LH/LL,False
XLB,2010-06-18,2010-06-25,LH/LL,LH/LL,False
XLB,2010-06-25,2010-07-02,LH/LL,TRANSITION,True
XLB,2010-07-02,2010-07-09,TRANSITION,HH/HL,True
XLB,2010-07-09,2010-07-16,HH/HL,HH/HL,False
XLB,2010-07-16,2010-07-23,HH/HL,HH/HL,False
XLB,2010-07-23,2010-07-30,HH/HL,HH/HL,False
XLB,2010-07-30,2010-08-06,HH/HL,HH/HL,False
XLB,2010-08-06,2010-08-13,HH/HL,HH/HL,False
XLB,2010-08-13,2010-08-20,HH/HL,HH/HL,False
XLB,2010-08-20,2010-08-27,HH/HL,HH/HL,False
XLB,2010-08-27,2010-09-03,HH/HL,HH/HL,False
XLB,2010-09-03,2010-09-10,HH/HL,HH/HL,False
XLB,2010-09-10,2010-09-17,HH/HL,HH/HL,False
XLB,2010-09-17,2010-09-24,HH/HL,HH/HL,False
XLB,2010-09-24,2010-10-01,HH/HL,HH/HL,False
XLB,2010-10-01,2010-10-08,HH/HL,HH/HL,False
XLB,2010-10-08,2010-10-15,HH/HL,HH/HL,False
XLB,2010-10-15,2010-10-22,HH/HL,TRANSITION,True
XLB,2010-10-22,2010-10-29,TRANSITION,TRANSITION,False
XLB,2010-10-29,2010-11-05,TRANSITION,TRANSITION,False
XLB,2010-11-05,2010-11-12,TRANSITION,TRANSITION,False
XLB,2010-11-12,2010-11-19,TRANSITION,HH/HL,True
XLB,2010-11-19,2010-11-26,HH/HL,HH/HL,False
XLB,2010-11-26,2010-12-03,HH/HL,HH/HL,False
XLB,2010-12-03,2010-12-10,HH/HL,HH/HL,False
XLB,2010-12-10,2010-12-17,HH/HL,TRANSITION,True
XLB,2010-12-17,2010-12-24,TRANSITION,HH/HL,True
XLB,2010-12-24,2010-12-31,HH/HL,HH/HL,False
XLB,2010-12-31,2011-01-07,HH/HL,HH/HL,False
XLB,2011-01-07,2011-01-14,HH/HL,HH/HL,False
XLB,2011-01-14,2011-01-21,HH/HL,TRANSITION,True
XLB,2011-01-21,2011-01-28,TRANSITION,LH/LL,True
XLB,2011-01-28,2011-02-04,LH/LL,LH/LL,False
XLB,2011-02-04,2011-02-11,LH/LL,LH/LL,False
XLB,2011-02-11,2011-02-18,LH/LL,TRANSITION,True
XLB,2011-02-18,2011-02-25,TRANSITION,HH/HL,True
XLB,2011-02-25,2011-03-04,HH/HL,TRANSITION,True
XLB,2011-03-04,2011-03-11,TRANSITION,LH/LL,True
XLB,2011-03-11,2011-03-18,LH/LL,LH/LL,False
XLB,2011-03-18,2011-03-25,LH/LL,LH/LL,False
XLB,2011-03-25,2011-04-01,LH/LL,TRANSITION,True
XLB,2011-04-01,2011-04-08,TRANSITION,HH/HL,True
XLB,2011-04-08,2011-04-15,HH/HL,HH/HL,False
